"OBJECTID,N,10,0","NAME,C,50","CLASS,C,4","NPU1,C,4","DISTRICT,C,8","ADDRESS,C,50","GIS_AC,N,19,11","ZIP,C,5","X_TRLPAV,N,4,0","X_TRLNPAV,N,4,0","PAVILIONS,N,11,0","PLAYGROUND,N,12,0","PIC_SHEL,N,9,0","GAZEBO,N,9,0","PICNICTABL,N,9,0","PARKGRILL1,N,12,0","RESTROOMS,C,11","PV_PRKSPAC,C,14","BALLFIELDS,N,9,0","SOCCER,C,13","TENNIS,N,9,0","TRL_NUM,C,9","TRL_LEN,C,9","BBALL,N,9,0","VOLLEYBALL,N,9,0","POOL,C,9","GYM,C,9","RECCEN,N,18,0","COVBB,N,4,0","DOGPARK,N,4,0","TRACK,N,4,0","NAT,N,4,0","GOLF,N,4,0","AREA_FIN,N,19,3","RECCTRNM,C,254","SHAPE_AREA,N,19,11"
269,South Bend Park,C,Y,1,1955 Compton Dr. SE,75.49791157590,30315,0,0,1,1,7,0,0,0,0,50,3,1,2,,,2,0,1,1,0,0,0,0,0,0,76.600,,3285925.62151000000
270,Cascade Springs Nature Preserve,NP,R,11,2852 Cascade Rd. SW,120.94626914700,30311,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.5,0,0,,0,0,0,0,0,0,0,120.000,,5264583.04248000000
271,Rosa L. Burney Park,C,V,4,477 Windsor St. SE,13.72673262450,30312,0,0,0,2,0,0,0,0,,0,1,,2,,,0,0,1,0,1,0,0,0,0,0,13.727,Dunbar Rec Ctr,597444.40439000000
272,Oakland Cemetery,C,W,5,248 Oakland Ave. SE,47.74358982830,30312,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,47.700,,2077930.93859000000
273,Roseland Cemetery,SF,X,12,E. Cleveland Ave. at I-85 and Cemetery Dr. SE,0.21959367216,30315,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,0.220,,9557.77244000000
274,Jacci Fuller Woodland Garden Park,B,W,1,Gilbert St. at Confederate Ave. SE,0.64204119522,30316,0,0,0,1,0,0,1,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.642,,27942.68412000000
275,Cabbagetown Park,N,N,5,701 Kirkwood Ave. SE,3.65966801308,30316,0,0,0,1,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,3.660,,159277.27263000000
276,West Wesley Park,CN,B,8,"59 W. Wesley Rd. NW, 1 block west of Peachtree Rd.",1.12818471573,30305,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,1.128,,49102.80603000000
277,17th Street Park,N,E,6,138 17th Street NE,2.30347083742,30309,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,,,0,0,0,0,0,0,2.303,,100254.70254000000
278,25th Street Beauty Spot,G,E,8,"25th St., Alden Ave. to Standish Ave. NW",0.10590386070,30309,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.106,,4609.34160000000
279,Adamsville Recrecreation Center,R,I,10,"3201 Martin Luther King, Jr. Dr. SW",10.94138281130,30311,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,1,0,0,0,1,0,11.000,Adamsville,476267.68538000000
280,Adamsville Triangle,G,H,10,"Fairburn/MLK, Jr. Dr./Bakers Ferry Rd.",0.04571556033,30331,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.046,,1989.97802000000
281,Arbor Park,G,O,5,East Lake Dr. at Arbor St. SE,0.36351572308,30317,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.364,,15819.79813000000
282,Barclay Median,G,F,6,Barclay Place/E. Rock Springs NE,0.31497155822,30306,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.315,,13708.09279000000
283,Brookline Park,G,V,4,"Brookline St. at Elbert St., near Murphy Ave. SW",0.05522805276,30310,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.055,,2403.80015000000
284,Browns Mill/McWilliams Park,G,Z,1,Browns Mill Rd. @ McWilliams Rd. SE,0.04164390396,30315,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.042,,1812.45187000000
285,Chatham and Avon Park,G,S,4,Avon Ave./Chatham Rd.,0.04503698760,30311,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.045,,1960.29527000000
286,Dale Creek Park,CN,I,10,Dale Creek Dr. NW,2.98036102129,30318,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,3.200,,129729.95034000000
287,Dollar Mill Median,G,H,10,Boulder Park Dr./Dollar Mill Rd.,0.24443728112,30331,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.244,,10640.53978000000
288,E. Club and Lakehaven Park,G,B,7,E. Club Lane/Lakehaven Dr. NE,0.01296141677,30319,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.013,,564.10622000000
289,East Andrews and Roswell Park,G,B,8,E. Andrews Dr. NW at /Roswell Rd.,0.00708403333,30305,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.007,,308.32253000000
354,John Wesley Dobbs Park,N,M,2,Fort Street & Auburn Ave,0.00000000000,30303,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,1.300,,60194.19971000000
290,Eastwood/Emerson Triangle,G,W,1,Eastwood Av. at Emerson Av. SE,0.03173888545,30316,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.032,,1381.32830000000
